team,opponent,matches,wins,losses,avg_runs,avg_opponent_runs,avg_run_margin,win_rate,matchup_key
Royal Challengers Bengaluru,Rising Pune Supergiants,4,2,2,152.5,170.25,-17.75,50.0,Royal Challengers Bengaluru vs Rising Pune Supergiants
Sunrisers Hyderabad,Punjab Kings,23,16,7,161.26,156.3,4.96,69.57,Sunrisers Hyderabad vs Punjab Kings
Sunrisers Hyderabad,Delhi Capitals,24,13,11,159.42,159.12,0.29,54.17,Sunrisers Hyderabad vs Delhi Capitals
Sunrisers Hyderabad,Royal Challengers Bengaluru,24,13,11,166.33,162.58,3.75,54.17,Sunrisers Hyderabad vs Royal Challengers Bengaluru
Sunrisers Hyderabad,Rajasthan Royals,20,11,9,158.25,162.35,-4.1,55.0,Sunrisers Hyderabad vs Rajasthan Royals
Sunrisers Hyderabad,Mumbai Indians,23,10,13,161.3,161.26,0.04,43.48,Sunrisers Hyderabad vs Mumbai Indians
Sunrisers Hyderabad,Kolkata Knight Riders,28,9,19,157.57,155.86,1.71,32.14,Sunrisers Hyderabad vs Kolkata Knight Riders
Sunrisers Hyderabad,Chennai Super Kings,21,6,15,160.71,171.0,-10.29,28.57,Sunrisers Hyderabad vs Chennai Super Kings
Sunrisers Hyderabad,Gujarat Lions,5,5,0,145.4,142.4,3.0,100.0,Sunrisers Hyderabad vs Gujarat Lions
Sunrisers Hyderabad,Pune Warriors,2,2,0,122.5,106.0,16.5,100.0,Sunrisers Hyderabad vs Pune Warriors
Sunrisers Hyderabad,Gujarat Titans,4,1,3,169.75,179.25,-9.5,25.0,Sunrisers Hyderabad vs Gujarat Titans
Sunrisers Hyderabad,Lucknow Super Giants,4,1,3,156.75,161.5,-4.75,25.0,Sunrisers Hyderabad vs Lucknow Super Giants
Sunrisers Hyderabad,Rising Pune Supergiants,4,1,3,141.75,138.5,3.25,25.0,Sunrisers Hyderabad vs Rising Pune Supergiants
